Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,Run4steps,Run5steps,Run6steps,Run7steps,Run8steps,Run9steps,
176,8,8,8,10,8,8,8,10,14,8,
177,8,8,8,8,8,8,8,12,10,10,
178,10,8,14,8,8,8,8,8,12,8,
179,10,8,10,14,8,8,8,8,10,8,
180,10,8,8,8,8,10,8,12,10,12,
181,12,10,8,14,8,8,8,8,10,10,
182,8,10,8,10,10,8,8,8,8,8,
183,26,10,10,8,10,8,18,8,10,8,
184,10,8,8,10,10,10,8,8,8,10,
185,10,8,8,8,8,8,8,8,10,8,
186,8,12,14,8,8,16,10,8,8,8,
187,10,8,8,8,8,8,8,8,28,8,
188,12,10,8,8,10,10,10,8,8,10,
189,10,8,10,10,10,10,10,8,8,8,
190,8,10,8,8,14,10,10,8,8,8,
191,8,10,12,8,12,8,8,10,8,8,
192,10,8,8,10,8,8,8,8,12,8,
193,10,8,8,8,8,8,8,14,10,8,
194,10,10,8,10,8,8,14,8,8,8,
195,10,8,12,10,8,8,14,8,8,10,
196,8,8,8,8,10,8,8,8,8,10,
197,8,8,10,8,10,8,8,8,8,8,
198,8,8,8,8,10,8,8,8,10,8,
199,8,8,8,8,8,10,8,8,10,10,
200,8,10,10,10,8,8,8,10,8,8,
201,8,8,8,8,8,10,8,8,12,8,
202,10,8,8,10,8,8,18,8,8,8,
203,8,10,8,8,8,12,8,10,8,10,
204,8,8,8,8,8,10,18,8,14,10,
205,8,8,8,8,8,8,10,8,8,8,
206,8,8,8,10,10,12,10,10,8,10,
207,10,8,8,8,8,10,8,8,8,10,
208,10,8,8,8,8,8,10,10,10,8,
209,8,10,12,10,8,12,8,10,8,8,
210,12,8,12,8,8,8,8,8,10,8,
211,8,8,8,8,10,8,8,8,10,8,
212,10,8,8,8,8,8,8,10,8,8,
213,8,8,10,8,8,8,8,8,8,10,
214,8,10,8,8,14,12,8,8,8,8,
215,10,8,10,12,10,8,8,8,10,8,
216,8,8,8,12,8,8,10,8,10,10,
217,10,8,18,10,10,8,8,8,8,8,
218,10,12,14,8,10,10,8,8,8,8,
219,8,8,8,8,8,8,8,8,8,8,
220,10,10,14,10,8,14,8,8,14,8,
221,8,8,8,8,8,10,8,10,10,10,
222,12,8,8,8,10,8,12,8,8,10,
223,10,8,8,10,8,20,8,8,10,10,
224,10,8,8,8,14,8,8,8,8,12,
225,12,10,8,8,8,8,10,8,8,8,
226,8,10,10,8,8,8,8,10,12,8,
227,25,8,8,10,8,8,10,8,8,8,
228,8,10,12,8,10,10,10,8,8,8,
229,8,8,10,8,8,16,10,8,8,12,
230,8,8,8,8,10,8,8,10,8,8,
231,8,8,8,8,10,10,10,12,8,10,
232,8,8,12,8,10,8,10,10,10,10,
233,8,10,10,8,8,8,8,10,8,8,
234,8,8,8,8,8,8,10,8,8,8,
235,8,8,8,8,8,8,8,12,10,8,
236,8,12,12,10,8,8,8,8,8,8,
237,8,8,8,8,10,8,8,10,8,8,
238,8,8,8,10,10,8,8,8,12,10,
239,10,12,10,8,10,8,10,8,12,8,
240,8,14,10,8,8,8,10,8,10,8,
241,8,8,8,8,10,8,8,12,12,8,
242,10,8,8,8,8,8,12,8,10,8,
243,8,10,16,10,8,8,8,10,8,8,
244,12,8,8,8,8,8,8,8,10,10,
245,8,8,8,8,8,10,8,10,10,8,
246,8,10,12,10,8,8,10,8,8,8,
247,12,8,8,10,8,8,8,10,10,8,
