*************** Q table for run 0 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
59		5		9		|	-0.390	-0.300	-0.371	-0.310
60		6		0		|	-1.299	-1.231	-1.300	-1.247
61		6		1		|	-0.920	-1.020	-1.134	-1.013
62		6		2		|	0.759	-0.673	-0.749	-0.672
63		6		3		|	4.432	-0.471	-0.419	-0.451
64		6		4		|	8.891	-0.100	-0.024	-0.208
65		6		5		|	9.998	-0.128	1.421	-0.091
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.200	8.906	0.000
68		6		8		|	-0.200	-0.200	0.009	-0.100
69		6		9		|	-0.300	-0.300	-0.200	-0.200
70		7		0		|	-1.034	-1.019	-1.000	-1.003
71		7		1		|	-0.834	-0.848	-0.929	-0.880
72		7		2		|	-0.632	-0.685	-0.623	-0.636
73		7		3		|	-0.455	-0.399	-0.410	0.335
74		7		4		|	-0.271	-0.303	-0.276	-0.203
75		7		5		|	-0.190	-0.100	-0.209	1.446
76		7		6		|	-0.100	-0.110	-0.100	2.710
77		7		7		|	-0.200	-0.200	0.000	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.200
79		7		9		|	-0.300	-0.299	-0.200	-0.200
80		8		0		|	-0.781	-0.868	-0.782	-0.839
81		8		1		|	-0.762	-0.674	-0.698	-0.740
82		8		2		|	-0.642	-0.683	-0.614	-0.617
83		8		3		|	-0.472	-0.499	-0.434	-0.488
84		8		4		|	-0.372	-0.327	-0.319	-0.389
85		8		5		|	-0.290	-0.210	-0.200	-0.271
86		8		6		|	-0.190	-0.291	-0.209	-0.090
87		8		7		|	-0.200	-0.210	-0.190	-0.200
88		8		8		|	-0.200	-0.200	-0.281	-0.200
89		8		9		|	-0.381	-0.300	-0.299	-0.200
90		9		0		|	-0.790	-0.700	-0.700	-0.732
91		9		1		|	-0.769	-0.699	-0.694	-0.624
92		9		2		|	-0.671	-0.600	-0.622	-0.672
93		9		3		|	-0.563	-0.500	-0.500	-0.498
94		9		4		|	-0.389	-0.400	-0.410	-0.400
95		9		5		|	-0.298	-0.300	-0.281	-0.281
96		9		6		|	-0.290	-0.300	-0.290	-0.290
97		9		7		|	-0.300	-0.300	-0.290	-0.200
98		9		8		|	-0.300	-0.200	-0.291	-0.200
99		9		9		|	-0.300	-0.300	-0.299	-0.299

*************** Q table for run 5 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
